Lenovo ThinkPad E14 Gen 2 (20T7S1V305),14" AMD Ryzen 7, 1.8 GHz, 16GB RAM, 256GB SSD,AMD Ryzen 7 4800U,6995.00,941.80,4246.00,1.65,https://www.pricerunner.dk/pl/27-3200029830/Baerbar/Lenovo-ThinkPad-E14-Gen-2-%2820T7S1V305%29-Sammenlign-Priser
Lenovo IdeaPad Flex 5 14ARE05 81X2008FMX,14" AMD Ryzen 7, 2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 4700U,6257.00,992.72,3894.23,1.61,https://www.pricerunner.dk/pl/27-3200117131/Baerbar/Lenovo-IdeaPad-Flex-5-14ARE05-81X2008FMX-Sammenlign-Priser
Lenovo Yoga Slim 7 14ARE05 82A200AVMX,14" AMD Ryzen 7, 1.8 GHz, 16GB RAM, 1TB SSD,AMD Ryzen 7 4800U ,8619.00,941.80,4246.00,2.03,https://www.pricerunner.dk/pl/27-3200212710/Baerbar/Lenovo-Yoga-Slim-7-14ARE05-82A200AVMX-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A2005TGE,14" AMD Ryzen 7, 2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 4700U,7066.00,992.72,3894.23,1.81,https://www.pricerunner.dk/pl/27-5269488/Baerbar/Lenovo-Yoga-Slim-7-14-82A2005TGE-Sammenlign-Priser
Lenovo IdeaPad Flex 5 81X200D0MX,14" AMD Ryzen 7, 2 GHz, 16GB RAM, 1TB SSD,AMD Ryzen 7 4700U,8298.00,992.72,3894.23,2.13,https://www.pricerunner.dk/pl/27-5253318/Baerbar/Lenovo-IdeaPad-Flex-5-81X200D0MX-Sammenlign-Priser
Lenovo Yoga Slim 7-14 82A20039MX,14" AMD Ryzen 7, 1.8 GHz, 16GB RAM, 1TB SSD,AMD Ryzen 7 4800U,7995.00,941.80,4246.00,1.88,https://www.pricerunner.dk/pl/27-5218332/Baerbar/Lenovo-Yoga-Slim-7-14-82A20039MX-Sammenlign-Priser
Lenovo ThinkPad E14 20T6000KMX,14" AMD Ryzen 7, 2 GHz, 16GB RAM, 256GB SSD,AMD Ryzen 7 4700U,8199.00,992.72,3894.23,2.11,https://www.pricerunner.dk/pl/27-5233573/Baerbar/Lenovo-ThinkPad-E14-20T6000KMX-Sammenlign-Priser
Lenovo IdeaPad Flex 5 14ALC05 82HU001CMX,14" AMD Ryzen 7, 1.8 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 5700U,6999.00,1002.28,4366.81,1.60,https://www.pricerunner.dk/pl/27-3200145701/Baerbar/Lenovo-IdeaPad-Flex-5-14ALC05-82HU001CMX-Sammenlign-Priser
HP 14s-fq0075no,14" AMD Ryzen 7, 2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 4700U,5999.00,992.72,3894.23,1.54,https://www.pricerunner.dk/pl/27-5308207/Baerbar/HP-14s-fq0075no-Sammenlign-Priser
Lenovo IdeaPad Flex 5 14ALC05 82HU006QGE,14" AMD Ryzen 7, 1.8 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 5700U,6960.66,1002.28,4366.81,1.59,https://www.pricerunner.dk/pl/27-3200145796/Baerbar/Lenovo-IdeaPad-Flex-5-14ALC05-82HU006QGE-Sammenlign-Priser
Lenovo Yoga 6 (82FN000EMX),13.3" AMD Ryzen 7, 2 GHz, 16GB RAM, 1TB SSD,AMD Ryzen 7 4700U,8799.00,992.72,3894.23,2.26,https://www.pricerunner.dk/pl/27-3200106485/Baerbar/Lenovo-Yoga-6-%2882FN000EMX%29-Sammenlign-Priser
Lenovo ThinkPad E14 20T60040MX,14" AMD Ryzen 7, 2 GHz, 16GB RAM, 256GB SSD,AMD Ryzen 7 4700U,7327.00,992.72,3894.23,1.88,https://www.pricerunner.dk/pl/27-3200006793/Baerbar/Lenovo-ThinkPad-E14-20T60040MX-Sammenlign-Priser
Lenovo ThinkBook 13s G3 20YA0005GE,13.3" AMD Ryzen 7, 1.9 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 5800U,8668.00,1382.68,5520.52,1.57,https://www.pricerunner.dk/pl/27-3200247415/Baerbar/Lenovo-ThinkBook-13s-G3-20YA0005GE-Sammenlign-Priser
Lenovo ThinkPad E14 Gen 3 20Y7003XGE,14" AMD Ryzen 7, 1.8 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 5700U ,8389.00,1002.28,4366.81,1.92,https://www.pricerunner.dk/pl/27-3200245488/Baerbar/Lenovo-ThinkPad-E14-Gen-3-20Y7003XGE-Sammenlign-Priser
HP ProBook 445 G7 175V8EA,14" AMD Ryzen 7, 2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 4700U ,7796.00,992.72,3894.23,2.00,https://www.pricerunner.dk/pl/27-3200164689/Baerbar/HP-ProBook-445-G7-175V8EA-Sammenlign-Priser
Lenovo ThinkPad E14 G2 (20T6000MGE),14" AMD Ryzen 7, 2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 4700U,8339.00,992.72,3894.23,2.14,https://www.pricerunner.dk/pl/27-3200054635/Baerbar/Lenovo-ThinkPad-E14-G2-%2820T6000MGE%29-Sammenlign-Priser
Lenovo ThinkBook 14 G2 ARE 20VF000BUK,14" AMD Ryzen 7, 2 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 4700U,8183.39,992.72,3894.23,2.10,https://www.pricerunner.dk/pl/27-3200173082/Baerbar/Lenovo-ThinkBook-14-G2-ARE-20VF000BUK-Sammenlign-Priser
Lenovo Yoga Slim 7-13 82CY0005MX,13.3" AMD Ryzen 7, 1.9 GHz, 16GB RAM, 512GB SSD,AMD Ryzen 7 5800U,7117.00,1382.68,5520.52,1.29,https://www.pricerunner.dk/pl/27-3200212592/Baerbar/Lenovo-Yoga-Slim-7-13-82CY0005MX-Sammenlign-Priser
